,Name,Description,Name_Tokens,Description_Tokens,is_French,is_Italian,is_Polish,is_Mexican,is_Spanish
37,Aceite de oliva, [Spanish] olive oil.,"['Aceite', 'de', 'oliva']","['Aceite', 'de', 'oliva']",0,0,0,0,1
38,Aceituna, [Spanish] olive.,['Aceituna'],['Aceituna'],0,0,0,0,1
53,Acitron, [Spanish] candied biznaga cactus; made by simmering in a sugar syrup.,['Acitron'],['Acitron'],0,0,0,0,1
55,Aclarada, [Spanish] clarified.,['Aclarada'],['Aclarada'],0,0,0,0,1
68,Aderezo, [Spanish] dressing.,['Aderezo'],['Aderezo'],0,0,0,0,1
71,Adobado (adavada)," [Spanish] in Texas, a sour marinade paste made with chiles, herbs and vinegar; in New Mexico and El Paso, a marinade for pork made with red New Mexican chiles, Mexican oregano and garlic.","['Adobado', '(adavada)']","['Adobado', '(adavada)']",0,0,0,1,1
73,Adobo," [Spanish] piquant sauce or paste used as a seasoning for meats, seafood or poultry. It includes chiles, tomato, vinegar and spices; adobo may also be used for pickling.",['Adobo'],['Adobo'],0,0,0,0,1
102,Agrio, [Spanish] sour.,['Agrio'],['Agrio'],0,0,0,0,1
103,Agua, [Spanish] water.,['Agua'],['Agua'],0,0,0,0,1
105,Aguado, [Spanish] watery.,['Aguado'],['Aguado'],0,0,0,0,1
106,Aguas frescas, [Spanish] fresh fruit drinks.,"['Aguas', 'frescas']","['Aguas', 'frescas']",0,0,0,0,1
107,Agujas," [Spanish] in northern Mexico, name given to ribs of beef.",['Agujas'],['Agujas'],0,0,0,0,1
121,Ajo , Spanish term for garlic.,['Ajo'],['Ajo'],0,0,0,0,1
123,Ajo, [Spanish] garlic.,['Ajo'],['Ajo'],0,0,0,0,1
124,Ajonjol, [Spanish] sesame.,['Ajonjol'],['Ajonjol'],0,0,0,0,1
125,"Akee, Ackee "," Tropical fruit, native to Africa, commonly eaten in Jamaica with salt cod. The cherry-size fruit, slightly oval in shape, has a flavor similar to grapes, and looks like scrambled eggs when cooked. Certain parts of the fruit are toxic when underripe so it is important to identify the stage of maturity before using this fresh fruit, but canned akee is safe. Also known as genipa, genip, ginup, honeyberry, limoncillo, Spanish lime and mamoncillo.","['Akee,', 'Ackee']","['Akee,', 'Ackee']",0,0,0,0,1
129,Al Carbon, [Spanish] a dish relating to charcoal grilled or containing meat.,"['Al', 'Carbon']","['Al', 'Carbon']",0,0,0,0,1
138,Al Pastor," A term used in Spanish and Italian referring to a dish cooked in the style of shepherd cooking, usually vertically over a grill or spit.","['Al', 'Pastor']","['Al', 'Pastor']",0,1,0,0,1
139,Alambre , Spanish or Mexican shish kebab.,['Alambre'],['Alambre'],0,0,0,1,1
140,Alambres, [Spanish] shish kebabs.,['Alambres'],['Alambres'],0,0,0,0,1
144,Albahaca, [Spanish] basil.,['Albahaca'],['Albahaca'],0,0,0,0,1
146,Albimar, [Spanish] candied.,['Albimar'],['Albimar'],0,0,0,0,1
147,Albondigas," [Spanish] meatballs; made of chicken, shrimp, beef or pork; usually used as a garnish for broth soups or served in tomato sauce as an appetizer or light entree.",['Albondigas'],['Albondigas'],0,0,0,0,1
148,Albondiguitas, [Spanish] tiny meatballs.,['Albondiguitas'],['Albondiguitas'],0,0,0,0,1
151,Alcachofas, [Spanish] artichokes.,['Alcachofas'],['Alcachofas'],0,0,0,0,1
152,Alcaparras, [Spanish] capers.,['Alcaparras'],['Alcaparras'],0,0,0,0,1
153,Alcapurrias, [Spanish] croquettes.,['Alcapurrias'],['Alcapurrias'],0,0,0,0,1
158,Aliolio, [Spanish] garlic mayonnaise.,['Aliolio'],['Aliolio'],0,0,0,0,1
175,Almejas, [Spanish] clams.,['Almejas'],['Almejas'],0,0,0,0,1
176,Almobar, [Spanish] light syrup.,['Almobar'],['Almobar'],0,0,0,0,1
182,Almuerzo, [Spanish] brunch.,['Almuerzo'],['Almuerzo'],0,0,0,0,1
184,Alubias, [Spanish] white navy beans.,['Alubias'],['Alubias'],0,0,0,0,1
194,Amarillo, [Spanish] yellow; ripe plantain.,['Amarillo'],['Amarillo'],0,0,0,0,1
199,Amendra, [Spanish] almond.,['Amendra'],['Amendra'],0,0,0,0,1
223,Anejo, [Spanish] aged; refers either to certain types of aged liquor or to a cheese which is like a cross between Parmesan and feta.,['Anejo'],['Anejo'],0,0,0,0,1
229,Anis," [Spanish] Anise; small, elongated seed from the anise plant that tastes like licorice; the anise plant is a member of the carrot family.",['Anis'],['Anis'],0,0,0,0,1
242,Anticuchos, [Spanish] marinated and grilled beef hearts.,['Anticuchos'],['Anticuchos'],0,0,0,0,1
243,Antiguo, [Spanish] old; ancient.,['Antiguo'],['Antiguo'],0,0,0,0,1
247,Antojito," [Spanish] snack or an appetizer, it means little whim.",['Antojito'],['Antojito'],0,0,0,0,1
248,Antojitos mexicanos," [Spanish] snacks; corn- or tortilla-based Mexican foods, including enchiladas, tacos and tamales.","['Antojitos', 'mexicanos']","['Antojitos', 'mexicanos']",0,0,0,1,1
252,Apio, [Spanish] edible root of a tropical plant.,['Apio'],['Apio'],0,0,0,0,1
280,Arroz , Spanish term for rice.,['Arroz'],['Arroz'],0,0,0,0,1
281,Arroz con pollo, [Spanish] rice with chicken.,"['Arroz', 'con', 'pollo']","['Arroz', 'con', 'pollo']",0,0,0,0,1
282,Arroz, [Portuguese] rice. It is not a Spanish term.,['Arroz'],['Arroz'],0,0,0,0,1
292,Asada (Asado), [Spanish] roasted or broiled.,"['Asada', '(Asado)']","['Asada', '(Asado)']",0,0,0,0,1
296,Asador, [Spanish] wire mesh stovetop grill which can be used to roast vegetables over an outdoor fire or on the stovetop.,['Asador'],['Asador'],0,0,0,0,1
298,Asar, [Spanish] to roast or broil.,['Asar'],['Asar'],0,0,0,0,1
304,Asopao, [Spanish] soupy stew.,['Asopao'],['Asopao'],0,0,0,0,1
314,Ates, [Spanish] sweetsop; sweet fruit pastes; an equal amount of fruit pulp and sugar.,['Ates'],['Ates'],0,0,0,0,1
317,Atun, [Spanish] tuna.,['Atun'],['Atun'],0,0,0,0,1
357,Azucar, [Spanish] sugar.,['Azucar'],['Azucar'],0,0,0,0,1
364,Bacalaitos fritons, [Spanish] codfish fritters.,"['Bacalaitos', 'fritons']","['Bacalaitos', 'fritons']",0,0,0,0,1
365,Bacalao, [Spanish] salt cod; dried codfish.,['Bacalao'],['Bacalao'],0,0,0,0,1
430,Barbacoa," [Spanish] barbecued or pit-cooked meat; often refers to the head of a cow, sheep or goat that has been barbecued or pit-cooked.",['Barbacoa'],['Barbacoa'],0,0,0,0,1
481,Bebidas, [Spanish] drinks.,['Bebidas'],['Bebidas'],0,0,0,0,1
506,Bermuda onion," This big, sweet, ivory-colored onion truly does not come from Bermuda. A sweet, crisp topping for sandwiches, this onion is also a good choice for everyday cooking. Bermudas have a shorter shelf life than the basic yellow onion. Also called Spanish onion.","['Bermuda', 'onion']","['Bermuda', 'onion']",0,0,0,0,1
512,Betabel, [Spanish] beet.,['Betabel'],['Betabel'],0,0,0,0,1
531,Birria," Spanish name given to a dish of seasoned meat, then barbecued or steamed.",['Birria'],['Birria'],0,0,0,0,1
538,Bisteces, [Spanish] steaks.,['Bisteces'],['Bisteces'],0,0,0,0,1
