,Name,Description,Name_Tokens,Description_Tokens,is_French,is_Italian,is_Polish,is_Mexican,is_Spanish
1,a la ," French for the style of, such as ""a la Francaise"" meaning ""in the style of the French""","['a', 'la']","['a', 'la']",1,0,0,0,0
2,a la Bourgeoise ," French for in ""the style of the family""","['a', 'la', 'Bourgeoise']","['a', 'la', 'Bourgeoise']",1,0,0,0,0
3,a la Broche , French for cooked on a skewer over a flame,"['a', 'la', 'Broche']","['a', 'la', 'Broche']",1,0,0,0,0
5,a la carte, [French] refers to a list of food items each priced separately.,"['a', 'la', 'carte']","['a', 'la', 'carte']",1,0,0,0,0
6,a la creme, [French] served with cream or a cream-based sauce.,"['a', 'la', 'creme']","['a', 'la', 'creme']",1,0,0,0,0
7,a la Creole," [French] dishes prepared with tomatoes, green peppers and onions as important ingredients.","['a', 'la', 'Creole']","['a', 'la', 'Creole']",1,0,0,0,0
8,a la Florentine ," Literally French for ""in the style of Florence"". In Italian, ""alla Florentine"". It refers to dishes served with spinach and topped with a mornay sauce. ","['a', 'la', 'Florentine']","['a', 'la', 'Florentine']",1,1,0,0,0
9,a la Greque (a la Grecqua)," [French] means ""in the Greek manner."" Term describes vegetables cooked in a mixture of oil and vinegar, or lemon juice, with seasoning added. Serve cold or chilled.","['a', 'la', 'Greque', '(a', 'la', 'Grecqua)']","['a', 'la', 'Greque', '(a', 'la', 'Grecqua)']",1,0,0,0,0
11,a la minute, [French] cooked to order.,"['a', 'la', 'minute']","['a', 'la', 'minute']",1,0,0,0,0
13,a la mode, [French] served with or in the fashion of. Desserts served a la mode are served with ice cream; meats served a la mode are braised with vegetables and served with gravy.,"['a', 'la', 'mode']","['a', 'la', 'mode']",1,0,0,0,0
14,a la Provencal , French for dishes prepared with garlic and olive oil.,"['a', 'la', 'Provencal']","['a', 'la', 'Provencal']",1,0,0,0,0
15,a la, [French] in the manner or style of.,"['a', 'la']","['a', 'la']",1,0,0,0,0
16,a l'Anglaise, [French] In the English style; boiled and served without a sauce.,"['a', ""l'Anglaise""]","['a', ""l'Anglaise""]",1,0,0,0,0
18,Abaisee , 1. A French term for a puff pastry sheets that have been rolled very thin.2. thin slice of sponge cake used in a dessert.,['Abaisee'],['Abaisee'],1,0,0,0,0
26,Aboyeur," [French] Expediter or announcer; a station in the brigade system. The aboyeur accepts orders from the dining room, relays them to the appropriate stations of the kitchen, and checks each plate before it leaves the kitchen.",['Aboyeur'],['Aboyeur'],1,0,0,0,0
96,Agneau , French term for lamb. ,['Agneau'],['Agneau'],1,0,0,0,0
111,Ail , French term for garlic.,['Ail'],['Ail'],1,0,0,0,0
112,Ail, [French] garlic.,['Ail'],['Ail'],1,0,0,0,0
114,Aioli, [French] a cold egg and oil emulsion with olive oil and garlic. Many variations of this sauce are made. Basically is is a garlic mayonnaise.,['Aioli'],['Aioli'],1,0,0,0,0
145,Albert, a French hot horseradish sauce.,['Albert'],['Albert'],1,0,0,0,0
157,Algorienne, [French] a garnish of small tomatoes and sweet potato croquettes.,['Algorienne'],['Algorienne'],1,0,0,0,0
172,Allumettes ," The French word for ""match,"" also refers to potatoes that have been cut into thin ""matchsticks""",['Allumettes'],['Allumettes'],1,0,0,0,0
173,Allumettes," [French] Vegetable strips, matchstick-size in length and width.",['Allumettes'],['Allumettes'],1,0,0,0,0
174,Almandine, [French] made or garnished with almonds. An alternate spelling is Amandine.,['Almandine'],['Almandine'],1,0,0,0,0
187,Amandine , This French term refers to dishes garnished with almonds. Often spelled Almondine. ,['Amandine'],['Amandine'],1,0,0,0,0
200,AmEricaine, A French sauce or garnish containing lobster meat.,['AmEricaine'],['AmEricaine'],1,0,0,0,0
222,Andouille," A hard, smoked, highly-seasoned pork, Creole-Acadian sausage originating in communities along the lower Mississippi River. Is used regularly in Creole cooking, but it is popular in French cooking as well. The Creole version of this sausage is much spicier than those made in France.",['Andouille'],['Andouille'],1,0,0,0,0
227,Anglaise," [French] The manner of simple English-style cooking, such as boiling or steaming.",['Anglaise'],['Anglaise'],1,0,0,0,0
233,Anisette , A sweet French liqueur made with aniseed. It is produced as a flavor blend of aniseeds and aromatic herbs.,['Anisette'],['Anisette'],1,0,0,0,0
269,Arlasienne, [French] rings or slices of vegetables cooked in oil.,['Arlasienne'],['Arlasienne'],1,0,0,0,0
318,Au bleu, [French] blue; fish cooked immediately after being caught will turn blue upon preparation.,"['Au', 'bleu']","['Au', 'bleu']",1,0,0,0,0
321,Au gratin, Describing a dish with a browned topping of bread crumbs and/or cheese; a French term ,"['Au', 'gratin']","['Au', 'gratin']",1,0,0,0,0
322,au Gratin , A French term for a dish with a browned topping of bread or cracker crumbs and/or grated cheese. Also known as gratin?. ,"['au', 'Gratin']","['au', 'Gratin']",1,0,0,0,0
323,Au gratin," [French] cooked food, covered with a sauce and sprinkled with crumbled or grated cheese, dotted with butter and browned under the grill or broiler.","['Au', 'gratin']","['Au', 'gratin']",1,0,0,0,0
324,Au jus," Referring to meats, poultry, or game served with its own unthickened juices; a French term","['Au', 'jus']","['Au', 'jus']",1,0,0,0,0
325,Au Jus ," A French term for roasted poultry or meats served with their natural, unthickened juices.","['Au', 'Jus']","['Au', 'Jus']",1,0,0,0,0
326,Au jus, [French] served in unthickened natural juices or natural meat drippings.,"['Au', 'jus']","['Au', 'jus']",1,0,0,0,0
328,Au lait, [French] with milk.,"['Au', 'lait']","['Au', 'lait']",1,0,0,0,0
344,Aux fines herbes," [French] term applied to a dish to which a combination of delicate fresh herbs (usually tarragon, chervil, parsley, and chives) have been added.","['Aux', 'fines', 'herbes']","['Aux', 'fines', 'herbes']",1,0,0,0,0
359,Baba," a French or Italian small sweet cake made from enriched yeast dough, often flavored with candied fruits and soaked with a rum or Kirschwasser syrup after baking. This dough is also used to make the larger savarin.",['Baba'],['Baba'],1,1,0,0,0
