,Name,Description,Name_Tokens,Description_Tokens,is_French,is_Italian,is_Polish,is_Mexican,is_Spanish
8,a la Florentine ," Literally French for ""in the style of Florence"". In Italian, ""alla Florentine"". It refers to dishes served with spinach and topped with a mornay sauce. ","['a', 'la', 'Florentine']","['a', 'la', 'Florentine']",1,1,0,0,0
97,Agnello, [Italian] lamb.,['Agnello'],['Agnello'],0,1,0,0,0
100,Agnolotti, [Italian] small half-moon shaped ravioli.,['Agnolotti'],['Agnolotti'],0,1,0,0,0
128,Al Carbon ," In Italian and Mexican cooking, foods grilled over charcoal.","['Al', 'Carbon']","['Al', 'Carbon']",0,1,0,1,0
130,Al dente," Meaning to cook until it gives a slight resistance when bitten-not overcooked or undercooked; meaning ""tooth"" in Italian ","['Al', 'dente']","['Al', 'dente']",0,1,0,0,0
131,Al Dente ," Italian meaning ""to the tooth"". Used to describe a food, usually pasta, that is cooked only until it gives a slight resistance when one bites into it; the food is neither soft nor overdone.","['Al', 'Dente']","['Al', 'Dente']",0,1,0,0,0
132,Al dente," This Italian expression meaning ""by the tooth"" describes pasta cooked a shorter time so that it has just slight resistance when chewed. Fresh pasta is too soft already to be cooked al dente. The term also describes cooking vegetables until crisp by steaming, boiling, or stir:frying. Example","['Al', 'dente']","['Al', 'dente']",0,1,0,0,0
133,Al Dente," [Italian] a term, meaning ""to the bite.""  Literally ""to the tooth,"" used to describe the correct degree of doneness for pasta and vegetables. This is not exactly a procedure, but a sensory evaluation for deciding when the food is finished cooking. Pasta should retain a slight resistance when biting into it, but should not have a hard center.","['Al', 'Dente']","['Al', 'Dente']",0,1,0,0,0
134,Al Forno , Italian term for food baked in an oven.,"['Al', 'Forno']","['Al', 'Forno']",0,1,0,0,0
135,Al Forno, [Italian] a dish baked in the oven.,"['Al', 'Forno']","['Al', 'Forno']",0,1,0,0,0
136,Al Fresco , Italian term for an outdoor meal or social event held outside.,"['Al', 'Fresco']","['Al', 'Fresco']",0,1,0,0,0
137,Al Pastor , Italian term for food cooked over an open fire on a long spit. ,"['Al', 'Pastor']","['Al', 'Pastor']",0,1,0,0,0
138,Al Pastor," A term used in Spanish and Italian referring to a dish cooked in the style of shepherd cooking, usually vertically over a grill or spit.","['Al', 'Pastor']","['Al', 'Pastor']",0,1,0,0,1
161,Alla, [Italian] in the style of,['Alla'],['Alla'],0,1,0,0,0
164,Allioli, [Italian] garlic mayonnaise.,['Allioli'],['Allioli'],0,1,0,0,0
190,Amaretti , Italian almond cookies reminiscent of the macaroon. ,['Amaretti'],['Amaretti'],0,1,0,0,0
191,Amaretti, Italian almond cookies much like a macaroon.,['Amaretti'],['Amaretti'],0,1,0,0,0
245,Antipasto ," An Italian dish of cold meats, hors d'oeuvres and vegetables, which is commonly served before the pasta.",['Antipasto'],['Antipasto'],0,1,0,0,0
246,Antipasto," [Italian] cold appetizer assortment. Antipasto is the Italian word for snacks served before a meal. These are dishes to pique one's appetite, not quench it. This may consist of one or more dishes of all types of food. Common elements of an antipasto table are cured meats and salamis, olives, marinated vegetables and cheese.",['Antipasto'],['Antipasto'],0,1,0,0,0
301,Asiago Cheese ," Made from cow's milk, this semifirm Italian cheese has a rich, nutty, pungent flavor. Asiago di Taglio is aged for up to 60 days, is semifirm and used as a table cheese. When cured for six months or more asiago becomes hard and is used for grating.","['Asiago', 'Cheese']","['Asiago', 'Cheese']",0,1,0,0,0
302,Asiago cheese," Hard Italian cheese with a rich nutty flavor. It is made from whole or part-skim cow's milk, and comes in small wheels. It is among the best substitutes for Parmigiano-Reggiano. This Italian cheese originally came from the Province of Vicenza. Asiago is served in two different forms. The aged cheese (more than one year) is hard and is considered a grating cheese, like Parmesan or Romano. The younger variety, when still soft, is used on cheese trays and antipasto presentations. The hard, aged asiago has a full, rich, almost nutty, flavor. The softer, younger cheese is milder in flavor. In the past asiago was made with ewe's milk. Today, most types are produced using cow's milk. For a refreshing change, substitute grated asiago for Parmesan in your favorite recipe. It enhances salads, pastas, and pizzas.","['Asiago', 'cheese']","['Asiago', 'cheese']",0,1,0,0,0
359,Baba," a French or Italian small sweet cake made from enriched yeast dough, often flavored with candied fruits and soaked with a rum or Kirschwasser syrup after baking. This dough is also used to make the larger savarin.",['Baba'],['Baba'],1,1,0,0,0
417,Balsamic Vinegar, An Italian vinegar made from white Trebbiano grape juice. It has a dark color and pungent sweetness from aging in barrels made of wood.,"['Balsamic', 'Vinegar']","['Balsamic', 'Vinegar']",0,1,0,0,0
450,Basil," Native to India, it has long been a mainstay in Italian cooking. Its leaves have a spicy smell and flavor that work well in everything from seafood cocktails and soups to stews and other meat dishes. ",['Basil'],['Basil'],0,1,0,0,0
493,Bel Paese," Semisoft Italian cheese having a mild, buttery flavor. Delicious with fruity wines, it can be served as a dessert cheese, and melts beautifully for use in casseroles or on pizza. ","['Bel', 'Paese']","['Bel', 'Paese']",0,1,0,0,0
521,Biga,"Italian pre-ferment, see Pre-ferment.",['Biga'],['Biga'],0,1,0,0,0
533,Biscotti," Dry Italian cookies flavored with almonds, chocolate, or anise seed, used for dunking in coffee and sweet dessert wine. Not unlike zwieback.",['Biscotti'],['Biscotti'],0,1,0,0,0
584,Blue (Bleu) Cheese," A semi-soft, blue-veined cheese produced from cow's milk. It has a very strong, pungent aroma. Similar in flavor to French Roquefort and Italian Gorgonzola.","['Blue', '(Bleu)', 'Cheese']","['Blue', '(Bleu)', 'Cheese']",1,1,0,0,0
609,Bollito Misto," An Italian stew consisting of various cuts of meat, including zampone, boiled in a rich broth with vegetables. The whole dish is served with cornichons, pickled onions and a variation of chutney called mostarda di Cremona. These are whole or large pieces of fruit cooked in a spicy mustard flavored syrup. Other common sauces are salsa verde and mayonnaise.","['Bollito', 'Misto']","['Bollito', 'Misto']",0,1,0,0,0
707,Broccoli Rabe," A member of the broccoli family which looks similar to its relative, but has thinner stalks and is harvested very young. The leaves and young flower heads can be eaten cooked as spring greens or raw in salads. The stems are also edible. The flavor is slightly bitter and becomes more so as it matures. Select young, crisp, leafy stalks (they may have some yellow flowers), and check the stalks for toughness. Avoid large, woody stalks or yellow, limp leaves. Also known as broccoli rab, raab, rape, rapini, Italian turnip and broccoletti.","['Broccoli', 'Rabe']","['Broccoli', 'Rabe']",0,1,0,0,0
711,Brodo, [Italian] broth.,['Brodo'],['Brodo'],0,1,0,0,0
788,Cacciatore," An Italian stew-like dish flavored with onions, herbs, mushrooms, tomatoes and sometimes wine.",['Cacciatore'],['Cacciatore'],0,1,0,0,0
811,Calamari, Italian and [Spanish] squid.,['Calamari'],['Calamari'],0,1,0,0,1
827,Calzone," [Italian} ""trousers."" A half-moon shaped pizza turnover, often served with sauce over the top rather than inside.",['Calzone'],['Calzone'],0,1,0,0,0
850,Cannellini Beans," A large creamy, white kidney bean used in Italian cooking. They are sometimes referred to as Northern beans.","['Cannellini', 'Beans']","['Cannellini', 'Beans']",0,1,0,0,0
851,Cannellini beans," [Italian] large, creamy white bean often included in Italian cooking. Also known as Northern beans, this legume makes an excellent vegetarian substitute for both fish and chicken due to its rich texture.","['Cannellini', 'beans']","['Cannellini', 'beans']",0,1,0,0,0
852,Cannelloni," [Italian] large tubular-shaped noodles usually served stuffed. An Italian dish made of sheets or tubes of pasta filled with meat, cheese or fish, sauced and baked au gratin. Variations of this use thin pancakes, called crespelle, which are similar to crepes and are filled and cooked in the same manner as the pasta.",['Cannelloni'],['Cannelloni'],0,1,0,0,0
856,Cannoli," [Italian] a crisp pastry tube filled with sweetened ricotta cheese, chocolate chips, and candied fruit. Cinnamon and vanilla are common flavorings for this cheese mixture.",['Cannoli'],['Cannoli'],0,1,0,0,0
865,Capellini," Ther term in Italian means ""fine hair"" and describes very fine spaghetti. ",['Capellini'],['Capellini'],0,1,0,0,0
866,Capers, Pickled hyssop buds which is used in sauces and as condiments for smoked fish and nicoise salad. Sold packed in vinegar or in salt. Small pickled flower of a shrub though to have originated in the Sahara Desert or in the Orient; Mexican capers are large; Italian capers may be substituted.,['Capers'],['Capers'],0,1,0,1,0
867,Capicolla," A coarse Italian pork sausage. Usually highly seasoned, this sausage is served cold, thinly sliced, as for prosciutto.",['Capicolla'],['Capicolla'],0,1,0,0,0
869,Capocollo," An Italian sausage made from pork shoulder and flavored with sweet red peppers. It is pressed (rather than chopped), put into casings, and air dried. It is a specialty of the Parma region of Italy. ",['Capocollo'],['Capocollo'],0,1,0,0,0
871,Caponata," [Italian] Best known as a spread or cold salad containing eggplant, celery, tomatoes, raisins, and pine nuts seasoned with vinegar and olive oil. Modern variations will add other vegetables such as zucchini and season it with fresh herbs.",['Caponata'],['Caponata'],0,1,0,0,0
873,Cappelletti," Italian term for little hats. Cappelletti are small, pointed-hat-shaped dumplings stuffed with ground meat, cheese or vegetables; traditionally served on Christmas day.",['Cappelletti'],['Cappelletti'],0,1,0,0,0
876,Caprini," Cylindrical Italian cheese composed of a varying mixture of goat, cow, and ewe's milk and having a high fat content. Stored in olive oil and bay leaves, the cheese is served as an antipasto.",['Caprini'],['Caprini'],0,1,0,0,0
907,Carne, In Italian and Spanish meaning meat.,['Carne'],['Carne'],0,1,0,0,1
911,Carpaccio," An Italian dish (usually served as an appetizer), made of paper thin slices of beef dressed with olive oil and parmesan cheese. Slices of raw white truffles are an excellent partner to this dish.",['Carpaccio'],['Carpaccio'],0,1,0,0,0
956,Casonsei Pasta, Stuffed rings of pasta from Bergamo (a commune in the northern Italian town of Lombardy). ,"['Casonsei', 'Pasta']","['Casonsei', 'Pasta']",0,1,0,0,0
1078,Chiboust," A custard made originally as the filling for the gateaux Saint-Honor, consisting of pastry cream lightened with Italian meringue and stabilized with gelatin.",['Chiboust'],['Chiboust'],0,1,0,0,0
