,Name,Description,Name_Tokens,Description_Tokens,is_French,is_Italian,is_Polish,is_Mexican,is_Spanish
66,Adabado ," A sour paste used to marinate fajitas (Mexican skirt steak) before grilling, made with vinegar, chiles, and herbs.",['Adabado'],['Adabado'],0,0,0,1,0
71,Adobado (adavada)," [Spanish] in Texas, a sour marinade paste made with chiles, herbs and vinegar; in New Mexico and El Paso, a marinade for pork made with red New Mexican chiles, Mexican oregano and garlic.","['Adobado', '(adavada)']","['Adobado', '(adavada)']",0,0,0,1,1
72,Adobo ," 1. A Philippine national dish of braised pork, chicken, or fish. 2. Also, a seasoned Mexican sauce made with vinegar and chilies like the sauce in which Chipolte peppers usually are sold.",['Adobo'],['Adobo'],0,0,0,1,0
92,Agave ," A Mexican plant with large, fleshy leaves. Fermented agave sap is used to make tequila, pulque, and mescal.",['Agave'],['Agave'],0,0,0,1,0
128,Al Carbon ," In Italian and Mexican cooking, foods grilled over charcoal.","['Al', 'Carbon']","['Al', 'Carbon']",0,1,0,1,0
139,Alambre , Spanish or Mexican shish kebab.,['Alambre'],['Alambre'],0,0,0,1,1
210,Anaheim chiles," New Mexican chiles; very few, if any, Anaheim chiles are grown near Anaheim, California now; mildly hot peppers; slim, ranging between five and eight inches long and sometimes twisted in appearance; not normally stuffed because their flesh is thin; dried and tied in strings (ristras), or ground and blended in commercial chili powder mixtures; may be purchased in cans labeled as mild green chiles.","['Anaheim', 'chiles']","['Anaheim', 'chiles']",0,0,0,1,0
248,Antojitos mexicanos," [Spanish] snacks; corn- or tortilla-based Mexican foods, including enchiladas, tacos and tamales.","['Antojitos', 'mexicanos']","['Antojitos', 'mexicanos']",0,0,0,1,1
293,Asadero Cheese ," A white semifirm Mexican cheese made from whole cow's milk. Asadero has a mild flavor and is usually found in loaves that vary from 8 ounces to 11 pounds. Asadero means ""fit for roasting,"" indicating this cheese is very suitable for melting; also known as Chihuahua and Oaxaca. ","['Asadero', 'Cheese']","['Asadero', 'Cheese']",0,0,0,1,0
294,Asadero," Rubbery white cheese originally made only in the Mexican states of Chihuahua and Michoacan, it is now made in the United States; a cooked cheese made from equal portions of fresh and sour milk; frequently sold braided; it melts in gooey strings; also called Chihuahua, Mennonite or Oaxaca cheese; Monterey Jack or Longhorn Cheddar may be substituted.",['Asadero'],['Asadero'],0,0,0,1,0
295,Asado , Term used to describe Mexican dishes of broiled or roasted meat.,['Asado'],['Asado'],0,0,0,1,0
608,Bolillos, Mexican hard rolls which are similar to French bread; also a short rolling pin 2 inches in diameter and 8 inches or more long which rolls tortillas to a uniform thickness.,['Bolillos'],['Bolillos'],1,0,0,1,0
610,Bollito, A boiling bean native to the Southwest; an ancestor of the pinto bean; takes a bit longer to cook; often used in broth-style side dishes of Mexican cuisine.,['Bollito'],['Bollito'],0,0,0,1,0
727,Browned flour, Wheat flour browned in an oven or skillet; favored by Mexican and pioneer cooks for gravies and stews.,"['Browned', 'flour']","['Browned', 'flour']",0,0,0,1,0
754,Bunuelo, A Mexican pastry that is fried than sprinkled with cinnamon and sugar. ,['Bunuelo'],['Bunuelo'],0,0,0,1,0
807,Calabacita, [Spanish] squash; zucchini. A variety of summer squash found in Latin American and Mexican cooking.,['Calabacita'],['Calabacita'],0,0,0,1,1
866,Capers, Pickled hyssop buds which is used in sauces and as condiments for smoked fish and nicoise salad. Sold packed in vinegar or in salt. Small pickled flower of a shrub though to have originated in the Sahara Desert or in the Orient; Mexican capers are large; Italian capers may be substituted.,['Capers'],['Capers'],0,1,0,1,0
901,Carne adovada, [Spanish] meat cured in red chile sauce; traditional New Mexican dish.,"['Carne', 'adovada']","['Carne', 'adovada']",0,0,0,1,1
979,Cazuelas," glazed or unglazed Mexican casserole-style dishes; ideal for long, slow cooking, either in the oven or on top of the stove; can also be used as serving dishes.",['Cazuelas'],['Cazuelas'],0,0,0,1,0
1079,Chicharron," Crispy fried pigskin used in Mexican cooking for salads, fillings and snacks.",['Chicharron'],['Chicharron'],0,0,0,1,0
1121,Chiles de arbol," Treelike; chile de rbol; small, thin, 2 to 3 inch long (including the stems), very hot dried chile; usually ground into a powder for use in chile sauces; go well with tomatoes, tomatillos, citrus, and herbs such as rosemary and oregano; common Mexican names are pico de pajaro (bird's beak) and cola de rata (rat's tail).","['Chiles', 'de', 'arbol']","['Chiles', 'de', 'arbol']",0,0,0,1,0
1131,Chili rellenos," A Mexican dish consisting of a batter-fried, cheese stuffed, poblano chili pepper.","['Chili', 'rellenos']","['Chili', 'rellenos']",0,0,0,1,0
